asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xrp,5,0.7330081937709523,1.0477943197343196,1.4937679575271299,1.4297112901906086,1.3255167634658376,0.6119584833869103,0.4957325746799431,1.4297112901906086,0.774160742234372,1406
eth,5,0.3828312603509547,0.8940211168075538,1.0575711061818902,1.2478929060730461,0.7506202352961744,0.5963696832618688,0.5035737491877843,1.2478929060730461,0.5007120565250464,1539
algo,5,0.4633423721792411,0.3902234187446966,0.4654509967701098,1.1058718694564287,0.2846425280763338,0.9305183014424377,0.500875656742557,1.1058718694564287,0.6787523993201425,1142
vet,5,0.3276222799222679,0.7475912909095096,0.9325458915986803,1.2100009985901565,0.6705697110351826,0.7451440110169305,0.4973384030418251,1.2100009985901565,0.6683745653849538,1315
atom,5,-0.726682426802478,0.13271577590812164,0.14688537961511453,1.0339143656355159,0.09175899192565437,0.9701892211030634,0.4746580852775543,1.0339143656355159,0.6707837429001915,1243
pol,5,0.8413018621275092,0.680017103453833,0.7712382613013358,1.1750246642090505,0.6862336185904511,0.5012020449787822,0.5072463768115942,1.1750246642090505,0.5057838857638001,345
tao,5,-0.18336782915140448,0.25484296322633915,0.3240357373229663,1.0635597941870147,0.21077737518851622,0.8229391265742686,0.4780701754385965,1.0635597941870147,0.6806424899603699,456
ltc,5,0.129616915267891,0.4941880955585215,0.5976706358309584,1.1498779835037531,0.36538519550672105,0.8697716125021305,0.4830667920978363,1.1498779835037531,0.6430783613294324,2126
xlm,5,0.4622051383698831,0.8427173713577492,1.1674901995869944,1.3084295531274517,0.6861558528035618,0.9124027124455556,0.4944237918215613,1.3084295531274517,0.742894928402506,1345
avax,5,0.4599630923100424,0.849662599445679,1.1345698555443933,1.2512292223481412,0.8683898240860438,0.769616508854917,0.505795574288725,1.2512292223481412,0.78657945539118,949
link,5,0.3429178861327893,0.7575978152562703,1.0216483573130348,1.1967976218839147,0.6340095299808516,0.8658465919543755,0.49261083743842365,1.1967976218839147,0.7245994903177254,1624
ada,5,0.5997995976488948,0.9019739322689994,1.4266922178454393,1.3328587037394757,1.0155298292618515,0.7450833546127419,0.5029742233972241,1.3328587037394757,0.8388871837928741,1513
trx,5,0.6119619078228522,0.88048577148404,1.408580394767626,1.4059404052366407,1.063886475937605,0.7405686128479076,0.5183006535947713,1.4059404052366407,0.8948252853476606,1530
sui,5,0.5843431399327741,0.514402878928019,0.726521470202737,1.1303119164969517,0.5391034244696511,0.6069214461793655,0.4703196347031963,1.1303119164969517,0.6360645389489618,438
sol,5,0.8440174664423188,1.1745612199451076,1.493572466888601,1.3355222550977177,1.1574984559534274,0.7769657936577689,0.5,1.3355222550977177,0.7656788690244062,1092
bnb,5,0.5135982482396941,0.9373788514020766,1.247132976958447,1.3182147725200126,0.8166609337479154,0.7404301521362253,0.5022250476795931,1.3182147725200126,0.6450757647393423,1573
btc,5,0.3475094621673671,0.9473580033632328,1.079971286301823,1.2742798082675058,0.612481848775849,0.6134104875040193,0.5200729927007299,1.2742798082675058,0.396579527603258,2192
xrp,6,0.7205539084107806,1.0441042154557183,1.4894904024718212,1.41501696247542,1.4589649870880583,0.5482056958006046,0.49479528105482307,1.41501696247542,0.7660278581925237,1441
eth,6,0.5065264137658139,1.0441108302112436,1.1236149841750338,1.3003624288521443,0.8838790445885546,0.6225326143264505,0.5100882723833543,1.3003624288521443,0.5269972463217849,1586
algo,6,-0.2631750150845722,0.28795459174365684,0.3376565710047586,1.0763173784966271,0.22353914921225823,0.8911016759304508,0.49829642248722317,1.0763173784966271,0.6917622299158852,1174
vet,6,0.40450138042884065,0.8261219994532957,1.0386219389840186,1.226198739274998,0.7847475278397988,0.7326716257392843,0.5068493150684932,1.226198739274998,0.6959774069662393,1387
atom,6,-0.1427225469766532,0.32286904723608445,0.3662995933693658,1.0834023650484037,0.24029137908582016,0.9328185680430106,0.4847537138389367,1.0834023650484037,0.6942389246375047,1279
pol,6,-0.12031979698170159,0.15562065056721103,0.1734387072101716,1.0382525635538602,0.1071195376354295,0.7202592209035802,0.4811594202898551,1.0382525635538602,0.4957814688451274,345
tao,6,0.9217976483651775,0.5869516686514623,0.7738796497923544,1.154543533344352,0.5431473916792332,0.7486083383046738,0.48060344827586204,1.154543533344352,0.6927396037116549,464
ltc,6,0.4013016739855415,0.8233352483639158,1.0579730597745014,1.2587739253948231,0.780946489425884,0.6924059068603413,0.4914798206278027,1.2587739253948231,0.6567579406989321,2230
xlm,6,0.4565616927477274,0.8423114754942647,1.1566865210064967,1.2955330131760754,0.6878219304283028,0.9020003719496561,0.4989429175475687,1.2955330131760754,0.7365632015370589,1419
avax,6,0.5505389422165698,0.9256305574389767,1.2179613440367085,1.2718228992465401,0.8823358251137972,0.8339558795108597,0.5161943319838057,1.2718228992465401,0.7949490681169816,988
link,6,0.46995151712341676,0.8796955738967088,1.189631111315873,1.2272617917447686,0.9155257367272537,0.7096378778806587,0.5002942907592701,1.2272617917447686,0.7385415594151208,1699
ada,6,0.8176264947827137,1.0484984556273846,1.6851329936366797,1.386785351810704,1.358401261626303,0.6620591577648315,0.5057544757033248,1.386785351810704,0.857742794328543,1564
trx,6,0.7161365658451642,0.9508300080943253,1.5185067353038382,1.429047785850766,1.578349800548992,0.5409179449080964,0.5286425902864259,1.429047785850766,0.8979078522881129,1606
sui,6,1.2577846996928321,0.6668843970155285,1.0950846519212918,1.1696013914876198,0.763263223082995,0.5701976647050228,0.45594713656387664,1.1696013914876198,0.6526032237443675,454
sol,6,1.0213012529813437,1.293585574814949,1.6419649555929083,1.3675846463078924,1.312375825849561,0.7577078017774139,0.5026455026455027,1.3675846463078924,0.76871404680942,1134
bnb,6,0.6269440739956882,1.0682630844637544,1.3795648334583979,1.3436580664410622,1.247799729375189,0.5374979674182527,0.5217650566487776,1.3436580664410622,0.6278320650019298,1677
