asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bonk,5,-0.1999999514936146,-3.7976494964698997,-5.0,0.4326923490075074,-20.423076393947607,0.1999999514936146,0.4,0.4326923490075074,1.0755637906912565,5
doge,5,-0.06980733700274222,-8.345527066010705,-5.0,0.0,-23.23047625907763,0.0645694769270006,0.0,0.0,0.17973456786483857,4
shib,5,0.10000003637978905,4.58257569495584,5.0,10.0,0.0,0.0,1.0,10.0,0.4582577362087211,1
pepe,5,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,6,-0.26666664241347393,-5.237985751180497,-5.0,0.34808766581244766,-21.8798075600012,0.26666664241347393,0.3333333333333333,0.34808766581244766,1.1139042937189174,6
doge,6,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,6,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,6,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,7,-0.1999999514936146,-3.7976494964698997,-5.0,0.4326923490075074,-20.423076393947607,0.1999999514936146,0.4,0.4326923490075074,1.0755637906912565,5
doge,7,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,7,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,7,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,8,-0.3155555062407296,-7.1977702281270615,-5.0,0.18048998200040853,-23.24349851803991,0.3155555062407296,0.2,0.18048998200040853,1.0190119591486708,5
doge,8,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,8,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,8,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,9,-0.26666664241347393,-5.237985751180497,-5.0,0.34808766581244766,-21.8798075600012,0.26666664241347393,0.3333333333333333,0.34808766581244766,1.1139042937189174,6
doge,9,-0.020634414257568068,-1.3192032038653811,-1.755838081260838,0.7287988665147149,-6.139690034212989,0.06456947692700049,0.3333333333333333,0.7287988665147149,0.3005121370547437,6
shib,9,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,9,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,10,-0.3190476135411542,-7.4045039881152235,-5.0,0.16759768381203916,-23.350746668953786,0.3190476135411542,0.2,0.16759768381203916,1.0061443698445651,5
doge,10,-0.0681057874088602,-8.120576393285745,-5.0,0.0,-21.463383999706636,0.0681057874088602,0.0,0.0,0.1800094718605666,4
shib,10,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,10,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,11,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,11,-0.1826598998191642,-8.018980847849921,-5.0,0.0,-22.308001645239727,0.1826598998191642,0.0,0.0,0.5081415485332882,4
shib,11,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,11,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,12,-0.15413485844332275,-2.401238561336541,-5.0,0.6255699121976356,-10.601052665131366,0.26666664241347376,0.5,0.6255699121976356,1.1772870741695471,6
doge,12,-0.088191493855173,-7.252504011846365,-5.0,0.0,-21.533382379509995,0.088191493855173,0.0,0.0,0.2618490326515762,3
shib,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,12,-0.26530609062992294,-6.797058187186572,0.0,0.0,-22.615384389356354,0.26530609062992294,0.0,0.0,0.8827347148129435,2
bonk,13,-0.21052583710803952,-3.9131565084081386,-5.0,0.4268945286721958,-16.226049887924148,0.26666664241347393,0.4,0.4268945286721958,1.1057432111261114,5
doge,13,0.004548525585696295,4.58257569495584,5.0,10.0,0.0,0.0,1.0,10.0,0.02084396279689662,1
shib,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,13,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
