asset,trix_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bonk,5,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,5,-0.06456947692700044,-7.603660040883916,-5.0,0.0,-21.409373794253195,0.06456947692700044,0.0,0.0,0.18180613806990484,3
shib,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
