asset,willr_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,5,0.03646169429533486,2.400468931603416,5.0,1.5861864721514591,21.753973691098885,0.03695282486249595,0.375,1.5861864721514591,0.33488072654769524,8
aave,5,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,6,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,6,-0.0003066493778234314,0.10361728181513667,0.21365827144200836,1.0211348033202077,0.4774048310691565,0.060710226353172296,0.375,1.0211348033202077,0.2797154571957948,8
aave,6,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,7,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,7,-0.039869031182927506,-2.4037885502726857,-3.8130868026787477,0.635818364489984,-8.194358000561182,0.09788216575590822,0.3333333333333333,0.635818364489984,0.33367390321548634,9
aave,7,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,8,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,8,-0.039869031182927506,-2.4037885502726857,-3.8130868026787477,0.635818364489984,-8.194358000561182,0.09788216575590822,0.3333333333333333,0.635818364489984,0.33367390321548634,9
aave,8,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,9,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,9,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,9,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,10,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,10,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,10,-0.1507050605925092,-4.357734360869197,-3.5541926555222854,0.2960722795332332,-15.671057528814593,0.20113804278660966,0.2,0.2960722795332332,0.7233221620955852,5
uni,11,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,11,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,11,-0.204304869928992,-7.348846575247295,-5.0,0.0,-22.324701380709403,0.204304869928992,0.0,0.0,0.6206477662973852,5
uni,12,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,12,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,12,-0.24791475315885025,-8.999641300653286,-5.0,0.0,-23.040169862756823,0.24791475315885025,0.0,0.0,0.6346917430863276,6
uni,13,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,13,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,13,-0.24791475315885025,-8.999641300653286,-5.0,0.0,-23.040169862756823,0.24791475315885025,0.0,0.0,0.6346917430863276,6
uni,14,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,14,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,14,-0.24492149118818907,-8.827736484007572,-5.0,0.0,-22.981855778573976,0.24492149118818907,0.0,0.0,0.6376210252489238,5
uni,15,-0.04485262263235534,-6.572084317254392,-5.0,0.025618580296953297,-20.702052181823458,0.04598981743146149,0.3333333333333333,0.025618580296953297,0.14486783101656858,3
xmr,15,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,15,-0.21067871625481327,-7.656975708622557,-5.0,0.0,-23.50921269667738,0.20113804278660977,0.0,0.0,0.6175541374565037,5
uni,16,0.01809836314988389,1.2286116263438007,5.0,1.4420819629590313,9.392629704094707,0.045989817431461515,0.5,1.4420819629590313,0.3515881797229239,4
xmr,16,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,16,-0.16084804665151398,-4.721868651408344,-4.13839307612886,0.28036893969596677,-16.917959659822984,0.20113804278660977,0.16666666666666666,0.28036893969596677,0.7206564911340092,6
uni,17,0.01809836314988389,1.2286116263438007,5.0,1.4420819629590313,9.392629704094707,0.045989817431461515,0.5,1.4420819629590313,0.3515881797229239,4
xmr,17,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,17,-0.13946416339149126,-3.9975625438867337,-3.109005031141915,0.3151481183904199,-15.936454028083274,0.18078085864879223,0.2,0.3151481183904199,0.7206906236950993,5
uni,18,0.008422088464083544,0.6539763416590186,1.8177756706082016,1.1974800074539338,4.220641879976675,0.055056981188628555,0.4,1.1974800074539338,0.3553275337152391,5
xmr,18,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,18,-0.13946416339149126,-3.9975625438867337,-3.109005031141915,0.3151481183904199,-15.936454028083274,0.18078085864879223,0.2,0.3151481183904199,0.7206906236950993,5
uni,19,0.008422088464083544,0.6539763416590186,1.8177756706082016,1.1974800074539338,4.220641879976675,0.055056981188628555,0.4,1.1974800074539338,0.3553275337152391,5
xmr,19,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,19,-0.0067838227155669895,-0.24500313452994632,-0.4959769566003768,0.9385451590317909,-1.5936716445409524,0.05447086650355441,0.2,0.9385451590317909,0.35431659095643026,5
uni,20,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,20,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,20,-0.06121929665081027,-2.856539903972159,-4.000719233550492,0.5171620428311107,-11.644835272119407,0.10629274343087623,0.16666666666666666,0.5171620428311107,0.43330796329959814,6
uni,21,-0.08014281271328272,-3.335402251777482,-4.149112060319344,0.46252863804462585,-11.861137329200343,0.1380468185163062,0.2857142857142857,0.46252863804462585,0.49091298400620664,7
xmr,21,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,21,-0.00277599632921699,0.1307641362674823,0.224906043321455,1.0271434130147385,0.654630748446257,0.10629274343087623,0.2857142857142857,1.0271434130147385,0.5321221871127357,7
uni,22,-0.06117718907088321,-2.380149510625624,-3.051955902615964,0.6046530265368408,-8.724678330525824,0.1380468185163062,0.375,0.6046530265368408,0.5060245504454327,8
xmr,22,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,22,-0.027556511877100842,-0.830653481461388,-1.63425123685477,0.8534180690226785,-4.25482434756484,0.10629274343087623,0.25,0.8534180690226785,0.5444592273585476,8
uni,23,-0.059886723788493135,-2.3215615714206965,-2.9788109412706825,0.6141281434830426,-8.515577583464136,0.1380468185163062,0.4444444444444444,0.6141281434830426,0.5063610664896617,9
xmr,23,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,23,0.009578532579197718,0.6085262966103583,1.2635756700325969,1.1133346926546035,3.2897588844370698,0.10629274343087623,0.3333333333333333,1.1133346926546035,0.5746300513235091,9
uni,24,-0.1677079393554639,-5.027941234540767,-5.0,0.34297718061723914,-16.283657374865832,0.22009981602441245,0.4,0.34297718061723914,0.7128225699598673,10
xmr,24,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,24,-0.12875511042650223,-2.952100733721594,-3.506320798327618,0.5760769477073091,-14.818142467363808,0.17058597680721924,0.3,0.5760769477073091,0.8562605192937096,10
uni,25,-0.1677079393554639,-5.027941234540767,-5.0,0.34297718061723914,-16.283657374865832,0.22009981602441245,0.4,0.34297718061723914,0.7128225699598673,10
xmr,25,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,25,-0.17713492458312452,-4.202989041160221,-5.0,0.4818445686714818,-17.050577628690863,0.21664294285795446,0.2727272727272727,0.4818445686714818,0.8788715075706945,11
uni,26,-0.1677079393554639,-5.027941234540767,-5.0,0.34297718061723914,-16.283657374865832,0.22009981602441245,0.4,0.34297718061723914,0.7128225699598673,10
