time,alts_market_cap,symbols_count,alts_index
2017-11-09,31144880627.72848,15,31144880627.72848
2017-11-10,37143418510.946724,15,37143418510.946724
2017-11-11,45330041547.032196,15,45330041547.032196
2017-11-12,48335034106.49426,15,48335034106.49426
2017-11-13,46236526153.74717,15,46236526153.74717
2017-11-14,45143608452.55784,15,45143608452.55784
2017-11-15,44222337311.4009,15,44222337311.4009
2017-11-16,38000695964.79469,15,38000695964.79469
2017-11-17,43923056284.08214,15,43923056284.08214
2017-11-18,46168612778.56638,15,46168612778.56638
2017-11-19,44453180039.10981,15,44453180039.10981
2017-11-20,46617895732.17099,15,46617895732.17099
2017-11-21,45213196906.861824,15,45213196906.861824
2017-11-22,50629942419.24528,15,50629942419.24528
2017-11-23,57557025421.17991,15,57557025421.17991
2017-11-24,58212793578.83328,15,58212793578.83328
2017-11-25,57970370220.41317,15,57970370220.41317
2017-11-26,61256246766.10957,15,61256246766.10957
2017-11-27,60053207217.998856,15,60053207217.998856
2017-11-28,60626766072.73113,15,60626766072.73113
2017-11-29,53656582148.33631,15,53656582148.33631
2017-11-30,56754479492.231224,15,56754479492.231224
2017-12-01,59877429040.67873,15,59877429040.67873
2017-12-02,59148085795.55235,15,59148085795.55235
2017-12-03,61591193021.72152,15,61591193021.72152
2017-12-04,62583797881.3732,15,62583797881.3732
2017-12-05,61962827334.14594,15,61962827334.14594
2017-12-06,60073325303.83022,15,60073325303.83022
2017-12-07,57734696110.95536,15,57734696110.95536
2017-12-08,61817271295.39057,15,61817271295.39057
2017-12-09,59485082287.31744,15,59485082287.31744
2017-12-10,55984772975.93619,15,55984772975.93619
2017-12-11,61159749917.38214,15,61159749917.38214
2017-12-12,69917833808.50372,15,69917833808.50372
2017-12-13,78050683533.56653,16,78050683533.56653
2017-12-14,89100939913.72882,16,89100939913.72882
2017-12-15,87160211711.78088,16,87160211711.78088
2017-12-16,95498624758.65057,16,95498624758.65057
2017-12-17,104183822407.0893,16,104183822407.0893
2017-12-18,113835187683.51378,16,113835187683.51378
2017-12-19,127411583885.17795,16,127411583885.17795
2017-12-20,155042648717.59186,16,155042648717.59186
2017-12-21,143532110902.2687,16,143532110902.2687
2017-12-22,118462028397.29526,16,118462028397.29526
2017-12-23,137400399737.0709,16,137400399737.0709
2017-12-24,124624864259.31778,16,124624864259.31778
2017-12-25,127193799433.49957,16,127193799433.49957
2017-12-26,131252832825.76393,16,131252832825.76393
2017-12-27,126768039931.88222,16,126768039931.88222
2017-12-28,116401148534.01866,16,116401148534.01866
2017-12-29,121155719679.11864,16,121155719679.11864
2017-12-30,108003233089.7522,16,108003233089.7522
2017-12-31,114423936899.73871,16,114423936899.73871
2018-01-01,114998816109.35323,16,114998816109.35323
2018-01-02,125575682956.00697,16,125575682956.00697
2018-01-03,125121325742.92899,16,125121325742.92899
2018-01-04,121988053992.40584,16,121988053992.40584
2018-01-05,126381375216.41795,16,126381375216.41795
2018-01-06,141740242959.3218,16,141740242959.3218
2018-01-07,145237710034.0678,16,145237710034.0678
2018-01-08,127490313809.06712,16,127490313809.06712
2018-01-09,129804735073.9186,16,129804735073.9186
2018-01-10,138355726841.99927,16,138355726841.99927
2018-01-11,123902946090.9738,16,123902946090.9738
2018-01-12,133217166066.5356,16,133217166066.5356
2018-01-13,136639562535.64638,16,136639562535.64638
2018-01-14,130235236323.67079,16,130235236323.67079
2018-01-15,124713175155.66458,17,124713175155.66458
2018-01-16,98130745831.68913,17,98130745831.68913
2018-01-17,98650782693.82748,18,98650782693.82748
2018-01-18,99226136322.76321,18,99226136322.76321
2018-01-19,101990144297.95668,18,101990144297.95668
2018-01-20,113971207325.37679,18,113971207325.37679
2018-01-21,100581803978.92557,18,100581803978.92557
2018-01-22,94284109424.56013,18,94284109424.56013
2018-01-23,93764763008.99113,18,93764763008.99113
2018-01-24,95008385518.23976,18,95008385518.23976
2018-01-25,95745102193.35132,19,95745102193.35132
2018-01-26,95374857507.20317,19,95374857507.20317
2018-01-27,96442672367.20763,19,96442672367.20763
2018-01-28,102099122853.39381,19,102099122853.39381
2018-01-29,96331630515.81154,19,96331630515.81154
2018-01-30,86953532768.08815,19,86953532768.08815
2018-01-31,89075639068.96297,19,89075639068.96297
2018-02-01,79675198049.4443,19,79675198049.4443
2018-02-02,76349540651.58046,19,76349540651.58046
2018-02-03,79279080673.33662,19,79279080673.33662
2018-02-04,71461195502.97166,19,71461195502.97166
2018-02-05,58093309928.89849,19,58093309928.89849
2018-02-06,66358557042.894806,19,66358557042.894806
2018-02-07,62206841250.162964,19,62206841250.162964
2018-02-08,75118404531.35219,19,75118404531.35219
2018-02-09,78698553734.76517,19,78698553734.76517
2018-02-10,76979847906.22758,19,76979847906.22758
2018-02-11,72626438691.07623,19,72626438691.07623
2018-02-12,77347555689.50214,19,77347555689.50214
2018-02-13,75777091465.51756,19,75777091465.51756
2018-02-14,82172543085.18556,19,82172543085.18556
2018-02-15,84255270174.60086,19,84255270174.60086
2018-02-16,87350476076.16852,19,87350476076.16852
2018-02-17,89573345749.292,19,89573345749.292
2018-02-18,85466959934.11299,19,85466959934.11299
2018-02-19,89842980180.3763,19,89842980180.3763
2018-02-20,84499481996.43936,19,84499481996.43936
2018-02-21,79785617568.47182,19,79785617568.47182
2018-02-22,75563827735.0712,19,75563827735.0712
2018-02-23,78960597795.59932,19,78960597795.59932
2018-02-24,75368738084.00203,19,75368738084.00203
2018-02-25,73927318494.95068,19,73927318494.95068
2018-02-26,76746529685.79504,19,76746529685.79504
2018-02-27,77555944932.83984,19,77555944932.83984
2018-02-28,74295160788.40106,19,74295160788.40106
2018-03-01,78219432983.31836,19,78219432983.31836
2018-03-02,76602670225.72913,19,76602670225.72913
2018-03-03,76080565229.21944,19,76080565229.21944
2018-03-04,77132202704.65189,19,77132202704.65189
2018-03-05,76108442540.14246,19,76108442540.14246
2018-03-06,70693140509.55624,19,70693140509.55624
2018-03-07,64466617243.72329,19,64466617243.72329
2018-03-08,59333570432.67373,19,59333570432.67373
2018-03-09,60170171426.766235,19,60170171426.766235
2018-03-10,56529140081.69779,19,56529140081.69779
2018-03-11,62825735348.059975,19,62825735348.059975
2018-03-12,58165235434.20318,19,58165235434.20318
2018-03-13,57049288232.94833,19,57049288232.94833
2018-03-14,51438138096.06005,19,51438138096.06005
2018-03-15,50875673742.246864,19,50875673742.246864
2018-03-16,50469598622.33996,19,50469598622.33996
2018-03-17,47918677470.90411,19,47918677470.90411
2018-03-18,47732311169.771454,19,47732311169.771454
2018-03-19,50752731978.740326,19,50752731978.740326
2018-03-20,53534706290.11394,19,53534706290.11394
2018-03-21,53421306193.95811,19,53421306193.95811
2018-03-22,52142467771.22497,19,52142467771.22497
2018-03-23,52446983117.487785,19,52446983117.487785
2018-03-24,51526853383.624374,19,51526853383.624374
2018-03-25,50809899742.3841,19,50809899742.3841
2018-03-26,48047727838.37952,19,48047727838.37952
2018-03-27,45079359973.98373,19,45079359973.98373
2018-03-28,45167730048.16825,19,45167730048.16825
2018-03-29,39639576924.85005,19,39639576924.85005
2018-03-30,39488114286.10819,19,39488114286.10819
2018-03-31,39631442370.1603,19,39631442370.1603
2018-04-01,38448999670.75516,19,38448999670.75516
2018-04-02,39891425393.962074,19,39891425393.962074
2018-04-03,41801403951.2209,19,41801403951.2209
2018-04-04,38002125804.57081,19,38002125804.57081
2018-04-05,37815943470.09787,19,37815943470.09787
2018-04-06,35981448632.317955,19,35981448632.317955
2018-04-07,38134695929.821236,19,38134695929.821236
2018-04-08,39421036762.5688,19,39421036762.5688
2018-04-09,39792877084.33004,19,39792877084.33004
2018-04-10,39920892899.65841,19,39920892899.65841
2018-04-11,40944708583.99991,19,40944708583.99991
2018-04-12,47175984287.3567,19,47175984287.3567
2018-04-13,46837730578.55066,20,46837730578.55066
2018-04-14,47689414729.12329,20,47689414729.12329
2018-04-15,50897098492.82966,20,50897098492.82966
2018-04-16,49069240814.933,20,49069240814.933
2018-04-17,49284856030.39017,20,49284856030.39017
2018-04-18,56184096791.25563,20,56184096791.25563
2018-04-19,58669892340.380806,20,58669892340.380806
2018-04-20,63963717368.48384,20,63963717368.48384
2018-04-21,62884816351.4574,20,62884816351.4574
2018-04-22,64232554576.10188,20,64232554576.10188
2018-04-23,70500104129.7586,20,70500104129.7586
2018-04-24,74742357975.71602,20,74742357975.71602
2018-04-25,65872439642.14521,20,65872439642.14521
2018-04-26,71392592976.13373,20,71392592976.13373
2018-04-27,67963381516.70949,20,67963381516.70949
2018-04-28,71158290807.92078,20,71158290807.92078
2018-04-29,72880457959.57423,20,72880457959.57423
2018-04-30,69096976839.54689,20,69096976839.54689
2018-05-01,69441523083.47432,21,69441523083.47432
2018-05-02,72185594173.43826,21,72185594173.43826
2018-05-03,74779031194.07747,21,74779031194.07747
2018-05-04,74572254651.57077,21,74572254651.57077
2018-05-05,79832047888.44597,21,79832047888.44597
2018-05-06,79340390328.7763,20,79340390328.7763
2018-05-07,75763464450.25043,21,75763464450.25043
2018-05-08,74103606680.83772,21,74103606680.83772
2018-05-09,74432214016.68488,21,74432214016.68488
2018-05-10,70864253739.6172,21,70864253739.6172
2018-05-11,64307637025.60384,21,64307637025.60384
2018-05-12,67201477804.76474,21,67201477804.76474
2018-05-13,69589260289.97089,21,69589260289.97089
2018-05-14,70159554759.81122,21,70159554759.81122
2018-05-15,67910675858.8574,21,67910675858.8574
2018-05-16,64565812939.76216,21,64565812939.76216
2018-05-17,61164515208.63231,21,61164515208.63231
2018-05-18,63478013438.72183,21,63478013438.72183
2018-05-19,62343428958.31701,21,62343428958.31701
2018-05-20,65394538504.68661,21,65394538504.68661
2018-05-21,62959685450.431984,21,62959685450.431984
2018-05-22,58414046489.479355,21,58414046489.479355
2018-05-23,53784147274.55574,21,53784147274.55574
2018-05-24,56130543475.88473,21,56130543475.88473
2018-05-25,53747739181.5861,21,53747739181.5861
2018-05-26,53065730327.339264,21,53065730327.339264
2018-05-27,52218356204.57682,21,52218356204.57682
2018-05-28,47501580575.908554,21,47501580575.908554
2018-05-29,51984460928.942314,21,51984460928.942314
2018-05-30,52146692444.38337,21,52146692444.38337
2018-05-31,51877065147.902176,21,51877065147.902176
2018-06-01,53137623974.71732,21,53137623974.71732
2018-06-02,56503023668.222,21,56503023668.222
2018-06-03,57728331333.96845,21,57728331333.96845
2018-06-04,54932097799.572716,21,54932097799.572716
2018-06-05,56497769132.01045,21,56497769132.01045
2018-06-06,55373613310.14263,21,55373613310.14263
2018-06-07,55784187330.292,21,55784187330.292
2018-06-08,54842511553.413895,21,54842511553.413895
2018-06-09,53709446768.11309,21,53709446768.11309
2018-06-10,47509189941.027016,21,47509189941.027016
2018-06-11,47704343263.6631,21,47704343263.6631
2018-06-12,44225819471.28605,21,44225819471.28605
2018-06-13,42736969352.82762,21,42736969352.82762
2018-06-14,45834548659.45199,21,45834548659.45199
2018-06-15,43193135463.29225,21,43193135463.29225
2018-06-16,43733331208.87425,21,43733331208.87425
2018-06-17,43466166214.48505,21,43466166214.48505
2018-06-18,45022372879.575554,21,45022372879.575554
2018-06-19,45039305139.76459,21,45039305139.76459
2018-06-20,45169538325.42845,21,45169538325.42845
2018-06-21,44849013954.76926,21,44849013954.76926
2018-06-22,39502781145.67589,21,39502781145.67589
2018-06-23,39770435817.79862,21,39770435817.79862
2018-06-24,38355058328.24719,21,38355058328.24719
2018-06-25,39379203704.44366,21,39379203704.44366
2018-06-26,37317064721.05641,21,37317064721.05641
2018-06-27,38241318968.77818,21,38241318968.77818
2018-06-28,35721042960.21773,21,35721042960.21773
2018-06-29,38370616521.76787,21,38370616521.76787
2018-06-30,40469690618.05288,21,40469690618.05288
2018-07-01,39518074310.870705,21,39518074310.870705
2018-07-02,40548206757.66736,21,40548206757.66736
2018-07-03,39032759219.67919,21,39032759219.67919
2018-07-04,39202549341.55584,21,39202549341.55584
2018-07-05,38173683209.38548,21,38173683209.38548
2018-07-06,38630737864.518196,21,38630737864.518196
2018-07-07,39856620590.34481,21,39856620590.34481
2018-07-08,39538997613.490326,21,39538997613.490326
2018-07-09,38727435671.104744,21,38727435671.104744
2018-07-10,35897132716.7016,21,35897132716.7016
2018-07-11,36074230565.97423,21,36074230565.97423
2018-07-12,34783488193.892555,21,34783488193.892555
2018-07-13,36380423470.98433,22,36380423470.98433
2018-07-14,36562314448.0631,22,36562314448.0631
2018-07-15,37913915182.63009,22,37913915182.63009
2018-07-16,41077011937.30316,22,41077011937.30316
2018-07-17,45108354508.68729,22,45108354508.68729
2018-07-18,43272576427.78822,22,43272576427.78822
2018-07-19,42413216793.0827,22,42413216793.0827
2018-07-20,39261245475.561485,22,39261245475.561485
2018-07-21,40344452831.8907,22,40344452831.8907
2018-07-22,39661590549.78325,22,39661590549.78325
2018-07-23,40031752703.54608,22,40031752703.54608
2018-07-24,43099260984.70999,22,43099260984.70999
2018-07-25,41780010911.83499,22,41780010911.83499
2018-07-26,40617994290.596924,22,40617994290.596924
2018-07-27,41101258568.6208,22,41101258568.6208
2018-07-28,40877586805.60429,22,40877586805.60429
2018-07-29,40979133304.1192,22,40979133304.1192
2018-07-30,40440855064.25806,22,40440855064.25806
2018-07-31,37297783604.78751,22,37297783604.78751
2018-08-01,37383303673.938126,22,37383303673.938126
2018-08-02,35922811932.48269,22,35922811932.48269
2018-08-03,35933672907.11869,22,35933672907.11869
2018-08-04,34326098586.052647,22,34326098586.052647
2018-08-05,35511402207.151184,22,35511402207.151184
2018-08-06,35056687410.68072,22,35056687410.68072
2018-08-07,33022836848.054184,22,33022836848.054184
2018-08-08,29989470164.571392,22,29989470164.571392
2018-08-09,31345539867.36649,22,31345539867.36649
2018-08-10,28900589169.22714,23,28900589169.22714
2018-08-11,28593943541.294827,23,28593943541.294827
2018-08-12,28487376972.877567,23,28487376972.877567
2018-08-13,26471716302.25769,23,26471716302.25769
2018-08-14,25215326026.29289,23,25215326026.29289
2018-08-15,25618417811.161358,23,25618417811.161358
2018-08-16,26143917097.542267,23,26143917097.542267
2018-08-17,28893987157.60769,23,28893987157.60769
2018-08-18,27213186280.114326,23,27213186280.114326
2018-08-19,27560577984.79113,23,27560577984.79113
2018-08-20,25579199253.24493,23,25579199253.24493
2018-08-21,26371562168.991722,23,26371562168.991722
2018-08-22,25669216097.364334,23,25669216097.364334
2018-08-23,26060722253.99352,23,26060722253.99352
2018-08-24,26371534862.683033,23,26371534862.683033
2018-08-25,26768011761.119526,23,26768011761.119526
2018-08-26,26007726916.929565,23,26007726916.929565
2018-08-27,27935635147.435226,23,27935635147.435226
2018-08-28,29084902216.87957,23,29084902216.87957
2018-08-29,28203907937.40636,23,28203907937.40636
2018-08-30,27840578785.277363,23,27840578785.277363
2018-08-31,28124069965.31027,23,28124069965.31027
2018-09-01,30487494086.700333,23,30487494086.700333
2018-09-02,30454427170.14124,23,30454427170.14124
2018-09-03,30708870597.686867,23,30708870597.686867
2018-09-04,30535333023.465057,23,30535333023.465057
2018-09-05,26107588753.615715,23,26107588753.615715
2018-09-06,26133288674.823868,23,26133288674.823868
2018-09-07,25449617790.042213,23,25449617790.042213
2018-09-08,23757875877.055252,23,23757875877.055252
2018-09-09,24096346068.585407,23,24096346068.585407
2018-09-10,24433666010.791885,23,24433666010.791885
2018-09-11,23606017793.534496,23,23606017793.534496
2018-09-12,22716566143.04682,23,22716566143.04682
2018-09-13,24401463535.385654,23,24401463535.385654
2018-09-14,24301532777.051632,23,24301532777.051632
2018-09-15,24563976167.915905,23,24563976167.915905
2018-09-16,24234318514.54929,23,24234318514.54929
2018-09-17,22656461780.150127,23,22656461780.150127
2018-09-18,23816120452.861946,23,23816120452.861946
2018-09-19,23913362505.229534,23,23913362505.229534
2018-09-20,24555188126.0527,23,24555188126.0527
2018-09-21,26300780164.031456,23,26300780164.031456
2018-09-22,25599900018.629253,23,25599900018.629253
2018-09-23,26370900654.19905,23,26370900654.19905
2018-09-24,25383423834.010624,23,25383423834.010624
2018-09-25,24735434026.475075,23,24735434026.475075
2018-09-26,26011407459.866177,23,26011407459.866177
2018-09-27,27112616913.533676,23,27112616913.533676
2018-09-28,26349225037.941933,23,26349225037.941933
2018-09-29,26165589776.55504,23,26165589776.55504
2018-09-30,26186687633.014366,23,26186687633.014366
2018-10-01,25967285114.9036,23,25967285114.9036
2018-10-02,25941432778.89629,23,25941432778.89629
2018-10-03,25261933562.003166,23,25261933562.003166
2018-10-04,25585501155.61941,23,25585501155.61941
2018-10-05,25744357767.226994,23,25744357767.226994
2018-10-06,25464207919.738586,23,25464207919.738586
2018-10-07,25416946030.164845,23,25416946030.164845
2018-10-08,26038244110.19017,23,26038244110.19017
2018-10-09,25694874312.234383,23,25694874312.234383
2018-10-10,25610029607.614326,23,25610029607.614326
2018-10-11,22804374594.247223,23,22804374594.247223
2018-10-12,23081942024.256783,23,23081942024.256783
2018-10-13,23015787877.173187,23,23015787877.173187
2018-10-14,22718633053.667957,23,22718633053.667957
2018-10-15,23672973194.702618,23,23672973194.702618
2018-10-16,23899565056.301704,23,23899565056.301704
2018-10-17,23757562523.262848,23,23757562523.262848
2018-10-18,23425480542.42023,23,23425480542.42023
2018-10-19,23610006696.141296,23,23610006696.141296
2018-10-20,23648800818.083214,23,23648800818.083214
2018-10-21,23730520799.53837,23,23730520799.53837
2018-10-22,23841700476.073677,23,23841700476.073677
