time,stables_market_cap,symbols_count,stables_index
2017-11-09,184971146944.9056,1,184971146944.9056
2017-11-10,184573022383.7654,1,184573022383.7654
2017-11-11,185119762908.91968,1,185119762908.91968
2017-11-12,185758231962.8561,1,185758231962.8561
2017-11-13,185185792577.11075,1,185185792577.11075
2017-11-14,184723453671.5489,1,184723453671.5489
2017-11-15,184053796042.97165,1,184053796042.97165
2017-11-16,183859315814.56653,1,183859315814.56653
2017-11-17,183725375540.3028,1,183725375540.3028
2017-11-18,183894178779.48752,1,183894178779.48752
2017-11-19,183918018573.5677,1,183918018573.5677
2017-11-20,183822615654.50537,1,183822615654.50537
2017-11-21,182745100704.8194,1,182745100704.8194
2017-11-22,183497869542.1168,1,183497869542.1168
2017-11-23,182485301627.77145,1,182485301627.77145
2017-11-24,183897831298.3971,1,183897831298.3971
2017-11-25,184462921903.5819,1,184462921903.5819
2017-11-26,185062875473.6878,1,185062875473.6878
2017-11-27,183707025460.27225,1,183707025460.27225
2017-11-28,183496032346.97665,1,183496032346.97665
2017-11-29,181746836666.92224,1,181746836666.92224
2017-11-30,184956471255.15527,1,184956471255.15527
2017-12-01,185264704482.65344,1,185264704482.65344
2017-12-02,183406873704.2536,1,183406873704.2536
2017-12-03,183591435266.0391,1,183591435266.0391
2017-12-04,184143687376.6137,1,184143687376.6137
2017-12-05,183831801630.206,1,183831801630.206
2017-12-06,185288544276.73367,1,185288544276.73367
2017-12-07,189279019606.57788,1,189279019606.57788
2017-12-08,186699444530.24103,1,186699444530.24103
2017-12-09,186613205715.5085,1,186613205715.5085
2017-12-10,186726958714.6015,1,186726958714.6015
2017-12-11,186875574678.6156,1,186875574678.6156
2017-12-12,197759031203.25992,1,197759031203.25992
2017-12-13,188453419104.7968,1,188453419104.7968
2017-12-14,184972984140.0457,1,184972984140.0457
2017-12-15,186424237072.5237,1,186424237072.5237
2017-12-16,184831695085.2215,1,184831695085.2215
2017-12-17,185165627173.3108,1,185165627173.3108
2017-12-18,185859146467.33893,1,185859146467.33893
2017-12-19,185429811460.1873,1,185429811460.1873
2017-12-20,183503381127.5372,1,183503381127.5372
2017-12-21,185160115587.8904,1,185160115587.8904
2017-12-22,186763658874.6627,1,186763658874.6627
2017-12-23,191774214934.69305,1,191774214934.69305
2017-12-24,187695685466.3469,1,187695685466.3469
2017-12-25,185512375884.63947,1,185512375884.63947
2017-12-26,184217087696.736,1,184217087696.736
2017-12-27,184141850181.4736,1,184141850181.4736
2017-12-28,184679426602.29788,1,184679426602.29788
2017-12-29,184505133649.06348,1,184505133649.06348
2017-12-30,187387452238.8488,1,187387452238.8488
2017-12-31,185719694607.6548,1,185719694607.6548
2018-01-01,184806018096.0011,1,184806018096.0011
2018-01-02,184369356179.6596,1,184369356179.6596
2018-01-03,185936199306.3708,1,185936199306.3708
2018-01-04,183934531458.45825,1,183934531458.45825
2018-01-05,183219731320.7236,1,183219731320.7236
2018-01-06,185119762908.91968,1,185119762908.91968
2018-01-07,183758401310.0837,1,183758401310.0837
2018-01-08,185180302863.06107,1,185180302863.06107
2018-01-09,184569347993.4852,1,184569347993.4852
2018-01-10,183705188265.13208,1,183705188265.13208
2018-01-11,183784100170.6748,1,183784100170.6748
2018-01-12,184585860878.3756,1,184585860878.3756
2018-01-13,183840965734.53595,1,183840965734.53595
2018-01-14,186427889591.4333,1,186427889591.4333
2018-01-15,184684938187.7183,1,184684938187.7183
2018-01-16,189735868798.0901,1,189735868798.0901
2018-01-17,186136169248.8256,1,186136169248.8256
2018-01-18,187710361156.0973,1,187710361156.0973
2018-01-19,184303304640.0978,1,184303304640.0978
2018-01-20,183673999690.4913,1,183673999690.4913
2018-01-21,183444853339.5016,1,183444853339.5016
2018-01-22,184395055040.2507,1,184395055040.2507
2018-01-23,184396870364.0201,1,184396870364.0201
2018-01-24,183008749143.1133,1,183008749143.1133
2018-01-25,183396047375.74924,1,183396047375.74924
2018-01-26,184229926191.34625,1,184229926191.34625
2018-01-27,182245689825.8942,1,182245689825.8942
2018-01-28,181413648205.4373,1,181413648205.4373
2018-01-29,182611532243.85785,1,182611532243.85785
2018-01-30,180990940223.6125,1,180990940223.6125
2018-01-31,181685924899.47867,1,181685924899.47867
2018-02-01,181074051432.33267,1,181074051432.33267
2018-02-02,181772699562.7937,1,181772699562.7937
2018-02-03,183710699850.5525,1,183710699850.5525
2018-02-04,185328918827.0752,1,185328918827.0752
2018-02-05,182792988071.0017,1,182792988071.0017
2018-02-06,185321570046.51465,1,185321570046.51465
2018-02-07,183727212735.4429,1,183727212735.4429
2018-02-08,186939789023.03723,1,186939789023.03723
2018-02-09,183857478619.4264,1,183857478619.4264
2018-02-10,184149198962.0341,1,184149198962.0341
2018-02-11,183332937535.5487,1,183332937535.5487
2018-02-12,183486868242.64667,1,183486868242.64667
2018-02-13,183672162495.3512,1,183672162495.3512
2018-02-14,183611622541.2097,1,183611622541.2097
2018-02-15,184462921903.5819,1,184462921903.5819
2018-02-16,183855641424.28625,1,183855641424.28625
2018-02-17,184149198962.0341,1,184149198962.0341
2018-02-18,184422569224.6112,1,184422569224.6112
2018-02-19,183582271161.7092,1,183582271161.7092
2018-02-20,183582271161.7092,1,183582271161.7092
2018-02-21,183648322701.2709,1,183648322701.2709
2018-02-22,184220740215.6456,1,184220740215.6456
2018-02-23,183758401310.0837,1,183758401310.0837
