time,total_market_cap,symbols_count,total_index
2014-09-17,9509204301.466272,2,9509204301.466272
2014-09-18,8824523989.233303,2,8824523989.233303
2014-09-19,8205883180.176483,2,8205883180.176483
2014-09-20,8484126633.021348,2,8484126633.021348
2014-09-21,8279906645.163368,2,8279906645.163368
2014-09-22,8346075204.209651,2,8346075204.209651
2014-09-23,9055629071.789118,2,9055629071.789118
2014-09-24,8798479059.599619,2,8798479059.599619
2014-09-25,8554842605.399808,2,8554842605.399808
2014-09-26,8406043449.7606325,2,8406043449.7606325
2014-09-27,8307303928.662794,2,8307303928.662794
2014-09-28,7847293193.709849,2,7847293193.709849
2014-09-29,7814142454.842403,2,7814142454.842403
2014-09-30,8060506166.846329,2,8060506166.846329
2014-10-01,7990571936.627714,2,7990571936.627714
2014-10-02,7812067412.493219,2,7812067412.493219
2014-10-03,7490412736.669067,2,7490412736.669067
2014-10-04,6861007393.113837,2,6861007393.113837
2014-10-05,6676046072.184649,2,6676046072.184649
2014-10-06,6876341522.878179,2,6876341522.878179
2014-10-07,7000948759.5466385,2,7000948759.5466385
2014-10-08,7338880856.477744,2,7338880856.477744
2014-10-09,7579401158.990186,2,7579401158.990186
2014-10-10,7503171329.45219,2,7503171329.45219
2014-10-11,7515214978.762056,2,7515214978.762056
2014-10-12,7845287590.416181,2,7845287590.416181
2014-10-13,8082828598.093258,2,8082828598.093258
2014-10-14,8307770519.951424,2,8307770519.951424
2014-10-15,8184665943.891041,2,8184665943.891041
2014-10-16,7935966129.047746,2,7935966129.047746
2014-10-17,7960123810.730863,2,7960123810.730863
2014-10-18,8118173170.578338,2,8118173170.578338
2014-10-19,8075242814.920453,2,8075242814.920453
2014-10-20,7935529443.779327,2,7935529443.779327
2014-10-21,8010244181.317095,2,8010244181.317095
2014-10-22,7936684296.52703,2,7936684296.52703
2014-10-23,7435256936.725065,2,7435256936.725065
2014-10-24,7434423802.975931,2,7434423802.975931
2014-10-25,7207417488.359282,2,7207417488.359282
2014-10-26,7360241941.973741,2,7360241941.973741
2014-10-27,7332163880.937785,2,7332163880.937785
2014-10-28,7427461420.140102,2,7427461420.140102
2014-10-29,6978986681.877048,2,6978986681.877048
2014-10-30,7177253553.747819,2,7177253553.747819
2014-10-31,7035510239.315804,2,7035510239.315804
2014-11-01,6770711122.259429,2,6770711122.259429
2014-11-02,6774673618.331375,2,6774673618.331375
2014-11-03,6807285877.93089,2,6807285877.93089
2014-11-04,6866937160.364796,2,6866937160.364796
2014-11-05,7050397280.237549,2,7050397280.237549
2014-11-06,7246313446.774256,2,7246313446.774256
2014-11-07,7102128503.464666,2,7102128503.464666
2014-11-08,7163339165.778722,2,7163339165.778722
2014-11-09,7523661182.081306,2,7523661182.081306
2014-11-10,7601574607.421823,2,7601574607.421823
2014-11-11,7615443124.72828,2,7615443124.72828
2014-11-12,8759818370.415749,2,8759818370.415749
2014-11-13,8705671541.877285,2,8705671541.877285
2014-11-14,8240273261.90389,2,8240273261.90389
2014-11-15,7797402529.938784,2,7797402529.938784
2014-11-16,8033995371.293864,2,8033995371.293864
2014-11-17,8024067195.3292885,2,8024067195.3292885
2014-11-18,7772313408.949546,2,7772313408.949546
2014-11-19,7882020259.049448,2,7882020259.049448
2014-11-20,7413947975.603802,2,7413947975.603802
2014-11-21,7265713247.976868,2,7265713247.976868
2014-11-22,7309059430.134368,2,7309059430.134368
2014-11-23,7606772262.029397,2,7606772262.029397
2014-11-24,7795448909.836648,2,7795448909.836648
2014-11-25,7759801361.492699,2,7759801361.492699
2014-11-26,7620076144.636737,2,7620076144.636737
2014-11-27,7645962588.081894,2,7645962588.081894
2014-11-28,7784504149.326957,2,7784504149.326957
2014-11-29,7764090527.351283,2,7764090527.351283
2014-11-30,7814294229.195604,2,7814294229.195604
2014-12-01,7838270428.653814,2,7838270428.653814
2014-12-02,7883687878.565256,2,7883687878.565256
2014-12-03,7756465664.090953,2,7756465664.090953
2014-12-04,7647151363.968302,2,7647151363.968302
2014-12-05,7793721985.011043,2,7793721985.011043
2014-12-06,7752168838.58508,2,7752168838.58508
