time,open,high,low,close,volume,market_cap,roc_1d,Dividends,Stock Splits
2024-10-27,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,97065,30222221.616949063,,,
2024-10-28,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,84144,30222221.616949063,0.0,,
2024-10-29,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,174207,30222221.616949063,0.0,,
2024-10-30,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,53125,30222221.616949063,0.0,,
2024-10-31,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,141396,30222221.616949063,0.0,,
2024-11-01,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,249585,22666667.071679,-24.999997157829046,,
2024-11-02,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,289990,22666667.071679,0.0,,
2024-11-03,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,263495,22666667.071679,0.0,,
2024-11-04,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,172584,22666667.071679,0.0,,
2024-11-05,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,232008,22666667.071679,0.0,,
2024-11-06,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,196625,30222221.616949063,33.33332828058517,,
2024-11-07,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,241364,30222221.616949063,0.0,,
2024-11-08,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,226132,30222221.616949063,0.0,,
2024-11-09,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,180374,30222221.616949063,0.0,,
2024-11-10,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,137832,37777776.16221912,24.999997157829057,,
2024-11-11,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,167253,45333334.143358,20.00000727595779,,
2024-11-12,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,125483,45333334.143358,0.0,,
2024-11-13,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,131689,52888888.688628055,16.666664140292585,,
2024-11-14,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,187720,60444443.233898126,14.285712429602683,,
2024-11-15,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,87212,60444443.233898126,0.0,,
2024-11-16,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,213304,60444443.233898126,0.0,,
2024-11-17,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,236422,68000001.21503699,12.500004263256415,,
2024-11-18,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,215642,75555552.32443824,11.111104374113555,,
2024-11-19,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,205275,68000001.21503699,-9.999994543031654,,
2024-11-20,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,286085,75555552.32443824,11.111104374113555,,
2024-11-21,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,280350,75555552.32443824,0.0,,
2024-11-22,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,233329,75555552.32443824,0.0,,
2024-11-23,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,246027,75555552.32443824,0.0,,
2024-11-24,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,87184,75555552.32443824,0.0,,
2024-11-25,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,99580,68000001.21503699,-9.999994543031654,,
2024-11-26,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,71866,60444443.233898126,-11.111114479609885,,
2024-11-27,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,76220,68000001.21503699,12.500004263256415,,
2024-11-28,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,173519,60444443.233898126,-11.111114479609885,,
2024-11-29,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,151015,68000001.21503699,12.500004263256415,,
2024-11-30,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,135028,60444443.233898126,-11.111114479609885,,
2024-12-01,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,142398,60444443.233898126,0.0,,
2024-12-02,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,116486,60444443.233898126,0.0,,
2024-12-03,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,869906,60444443.233898126,0.0,,
2024-12-04,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,310740,60444443.233898126,0.0,,
2024-12-05,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,437179,60444443.233898126,0.0,,
2024-12-06,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,490446,60444443.233898126,0.0,,
2024-12-07,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,479708,68000001.21503699,12.500004263256415,,
2024-12-08,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,498358,68000001.21503699,0.0,,
2024-12-09,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,510783,60444443.233898126,-11.111114479609885,,
2024-12-10,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,474522,60444443.233898126,0.0,,
2024-12-11,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,364662,60444443.233898126,0.0,,
2024-12-12,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,266789,60444443.233898126,0.0,,
2024-12-13,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,266576,60444443.233898126,0.0,,
2024-12-14,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,265285,60444443.233898126,0.0,,
2024-12-15,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,268439,60444443.233898126,0.0,,
