time,open,high,low,close,volume,market_cap,roc_1d,Dividends,Stock Splits
2022-06-21,,,,0.0,185627,0.0,,,
2022-06-22,,,,0.0,242968,0.0,,,
2022-06-23,,,,0.0,137609,0.0,,,
2022-06-24,,,,0.0,108286,0.0,,,
2022-06-25,,,,0.0,77851,0.0,,,
2022-06-26,,,,0.0,84624,0.0,,,
2022-06-27,,,,0.0,79214,0.0,,,
2022-06-28,,,,0.0,73137,0.0,,,
2022-06-29,,,,0.0,78661,0.0,,,
2022-06-30,,,,0.0,82058,0.0,,,
2022-07-01,,,,0.0,72846,0.0,,,
2022-07-02,,,,0.0,84049,0.0,,,
2022-07-03,,,,0.0,75724,0.0,,,
2022-07-04,,,,0.0,82485,0.0,,,
2022-07-05,,,,0.0,55312,0.0,,,
2022-07-06,,,,0.0,66898,0.0,,,
2022-07-07,,,,0.0,51710,0.0,,,
2022-07-08,,,,0.0,55835,0.0,,,
2022-07-09,,,,0.0,49244,0.0,,,
2022-07-10,,,,0.0,44250,0.0,,,
2022-07-11,,,,0.0,48623,0.0,,,
2022-07-12,,,,0.0,51424,0.0,,,
2022-07-13,,,,0.0,52015,0.0,,,
2022-07-14,,,,0.0,33749,0.0,,,
2022-07-15,,,,0.0,66983,0.0,,,
2022-07-16,,,,0.0,76961,0.0,,,
2022-07-17,,,,0.0,82757,0.0,,,
2022-07-18,,,,0.0,76633,0.0,,,
2022-07-19,,,,0.0,46192,0.0,,,
2022-07-20,,,,0.0,62054,0.0,,,
2022-07-21,,,,0.0,52279,0.0,,,
2022-07-22,,,,0.0,67404,0.0,,,
2022-07-23,,,,0.0,63620,0.0,,,
2022-07-24,,,,0.0,47905,0.0,,,
2022-07-25,,,,0.0,45189,0.0,,,
2022-07-26,,,,0.0,35798,0.0,,,
2022-07-27,,,,0.0,42919,0.0,,,
2022-07-28,,,,0.0,41366,0.0,,,
2022-07-29,,,,0.0,39395,0.0,,,
2022-07-30,,,,0.0,30913,0.0,,,
2022-07-31,,,,0.0,37351,0.0,,,
2022-08-01,,,,0.0,49424,0.0,,,
2022-08-02,,,,0.0,33282,0.0,,,
2022-08-03,,,,0.0,26469,0.0,,,
2022-08-04,,,,0.0,29999,0.0,,,
2022-08-05,,,,0.0,24849,0.0,,,
2022-08-06,,,,0.0,28714,0.0,,,
2022-08-07,,,,0.0,24665,0.0,,,
2022-08-08,,,,0.0,25366,0.0,,,
2022-08-09,,,,0.0,23104,0.0,,,
2022-08-10,,,,0.0,25173,0.0,,,
2022-08-11,,,,0.0,37253,0.0,,,
2022-08-12,,,,0.0,19251,0.0,,,
2022-08-13,,,,0.0,18679,0.0,,,
2022-08-14,,,,0.0,17434,0.0,,,
2022-08-15,,,,0.0,13456,0.0,,,
2022-08-16,,,,0.0,1240,0.0,,,
2022-08-17,,,,0.0,7501,0.0,,,
2022-08-18,,,,0.0,17103,0.0,,,
2022-08-19,,,,0.0,13349,0.0,,,
2022-08-20,,,,0.0,14244,0.0,,,
2022-08-21,,,,0.0,11031,0.0,,,
2022-08-22,,,,0.0,13732,0.0,,,
