time,open,high,low,close,volume,market_cap,roc_1d,Dividends,Stock Splits
2023-12-19,1.5999999959603883e-05,2.099999983329326e-05,1.2999999853491316e-05,1.9999999494757503e-05,2538360,,,,
2023-12-20,1.9999999494757503e-05,1.9999999494757503e-05,7.000000096013537e-06,7.999999979801942e-06,2024189,,-59.99999909050528,,
2023-12-21,7.999999979801942e-06,1.1000000085914508e-05,3.999999989900971e-06,3.999999989900971e-06,1474980,,-50.0,,
2023-12-22,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,544999,,-24.999997157829046,,
2023-12-23,3.000000106112566e-06,7.999999979801942e-06,3.000000106112566e-06,4.999999873689376e-06,790207,,66.66665656117034,,
2023-12-24,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,450877,,-19.999998181010547,,
2023-12-25,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,305589,,0.0,,
2023-12-26,3.999999989900971e-06,3.999999989900971e-06,1.999999994950485e-06,1.999999994950485e-06,479872,,-50.000000000000014,,
2023-12-27,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,299138,,0.0,,
2023-12-28,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,214874,,0.0,,
2023-12-29,1.999999994950485e-06,7.000000096013537e-06,1.999999994950485e-06,4.999999873689376e-06,1715670,,149.99999431565817,,
2023-12-30,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,780826,,0.0,,
2023-12-31,4.999999873689376e-06,1.4000000192027072e-05,4.999999873689376e-06,7.000000096013537e-06,1747421,,40.00000545696836,,
2024-01-01,7.000000096013537e-06,1.2999999853491316e-05,7.000000096013537e-06,7.999999979801942e-06,1458894,,14.285712429602683,,
2024-01-02,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,4.999999873689376e-06,899011,,-37.50000142108547,,
2024-01-03,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,528487,,0.0,,
2024-01-04,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,327761,,0.0,,
2024-01-05,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,293188,,0.0,,
2024-01-06,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,219452,,-19.999998181010547,,
2024-01-07,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,221423,,-24.999997157829046,,
2024-01-08,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,285442,,0.0,,
2024-01-09,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,256679,,0.0,,
2024-01-10,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,251418,,33.33332828058517,,
2024-01-11,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,333058,,0.0,,
2024-01-12,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,183356,,-24.999997157829046,,
2024-01-13,3.000000106112566e-06,3.999999989900971e-06,1.999999994950485e-06,3.000000106112566e-06,308188,,0.0,,
2024-01-14,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,228219,,0.0,,
2024-01-15,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,215440,,0.0,,
2024-01-16,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,226298,,0.0,,
2024-01-17,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,156461,,0.0,,
2024-01-18,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,210754,,0.0,,
2024-01-19,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,119805,,0.0,,
2024-01-20,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,82194,,0.0,,
2024-01-21,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,130142,,0.0,,
2024-01-22,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,115672,,-33.333335859707425,,
2024-01-23,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,153209,,50.00000568434193,,
2024-01-24,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,201173,,0.0,,
2024-01-25,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,125559,,0.0,,
2024-01-26,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,241415,,33.33332828058517,,
2024-01-27,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,137421,,-24.999997157829046,,
2024-01-28,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,126859,,0.0,,
2024-01-29,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,73774,,0.0,,
2024-01-30,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,115194,,0.0,,
2024-01-31,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,55338,,0.0,,
2024-02-01,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,145672,,-33.333335859707425,,
2024-02-02,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,66264,,0.0,,
2024-02-03,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,72145,,0.0,,
2024-02-04,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,63714,,0.0,,
2024-02-05,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,71618,,0.0,,
2024-02-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,79628,,0.0,,
2024-02-07,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,150472,,0.0,,
2024-02-08,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,78432,,0.0,,
2024-02-09,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,62658,,0.0,,
2024-02-10,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,114167,,50.00000568434193,,
2024-02-11,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,90765,,-33.333335859707425,,
2024-02-12,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,80414,,0.0,,
2024-02-13,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,68615,,0.0,,
2024-02-14,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,112719,,50.00000568434193,,
2024-02-15,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,181355,,0.0,,
2024-02-16,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,146316,,0.0,,
2024-02-17,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,105126,,0.0,,
2024-02-18,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,93444,,0.0,,
2024-02-19,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,73626,,0.0,,
2024-02-20,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,46993,,0.0,,
2024-02-21,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,57670,,-33.333335859707425,,
2024-02-22,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,53299,,0.0,,
2024-02-23,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,36565,,0.0,,
2024-02-24,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,35552,,0.0,,
2024-02-25,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,78706,,0.0,,
2024-02-26,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,65444,,0.0,,
2024-02-27,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,77983,,50.00000568434193,,
2024-02-28,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,97722,,0.0,,
2024-02-29,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,140846,,0.0,,
2024-03-01,3.000000106112566e-06,7.000000096013537e-06,3.000000106112566e-06,6.000000212225132e-06,533254,,100.0,,
2024-03-02,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,683254,,0.0,,
2024-03-03,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,404953,,0.0,,
2024-03-04,6.000000212225132e-06,1.2000000424450263e-05,4.999999873689376e-06,1.1000000085914508e-05,1790321,,83.33332828058518,,
2024-03-05,1.1000000085914508e-05,1.2999999853491316e-05,7.000000096013537e-06,9.999999747378752e-06,2123601,,-9.090912097503123,,
2024-03-06,9.999999747378752e-06,1.8000000636675395e-05,9.999999747378752e-06,1.700000029813964e-05,2558820,,70.00000727595778,,
2024-03-07,1.700000029813964e-05,1.8999999156221747e-05,1.2999999853491316e-05,1.4999999621068127e-05,1327559,,-11.764709658801465,,
2024-03-08,1.4999999621068127e-05,2.9000000722589903e-05,1.4000000192027072e-05,2.5999999706982635e-05,3152939,,73.3333357586526,,
2024-03-09,2.5999999706982635e-05,3.5000000934815034e-05,2.099999983329326e-05,2.9000000722589903e-05,3254366,,11.538465574680679,,
2024-03-10,2.8000000384054147e-05,3.400000059627928e-05,1.9999999494757503e-05,2.300000051036477e-05,3041138,,-20.689655388702654,,
2024-03-11,2.300000051036477e-05,3.5000000934815034e-05,1.4000000192027072e-05,3.5000000934815034e-05,4081384,,52.17391373118689,,
2024-03-12,3.5000000934815034e-05,5.299999975250103e-05,2.4000000848900527e-05,4.999999873689376e-05,8978818,,42.857135432696516,,
2024-03-13,4.999999873689376e-05,6.600000051548705e-05,3.7999998312443495e-05,6.299999949987978e-05,7696122,,26.00000218278733,,
2024-03-14,6.299999949987978e-05,8.600000001024455e-05,5.199999941396527e-05,7.400000322377309e-05,9881000,,17.460323509866548,,
2024-03-15,7.400000322377309e-05,7.999999797903001e-05,4.999999873689376e-05,6.600000051548705e-05,7199160,,-10.810813999689096,,
2024-03-16,6.600000051548705e-05,7.200000254670158e-05,3.899999865097925e-05,4.8999998398358e-05,4843216,,-25.757578764169786,,
2024-03-17,4.8999998398358e-05,7.200000254670158e-05,4.5000000682193786e-05,6.299999949987978e-05,3356264,,28.57143175333434,,
2024-03-18,5.999999848427251e-05,6.70000008540228e-05,4.3000000005122274e-05,4.3000000005122274e-05,2880680,,-31.746031196072742,,
2024-03-19,4.3000000005122274e-05,4.5000000682193786e-05,3.099999958067201e-05,3.300000025774352e-05,3547566,,-23.255813363226807,,
2024-03-20,3.300000025774352e-05,4.099999932805076e-05,2.999999924213625e-05,3.600000127335079e-05,2128445,,9.090912097503123,,
2024-03-21,3.600000127335079e-05,3.899999865097925e-05,2.4000000848900527e-05,2.499999936844688e-05,1868579,,-30.55555976617903,,
2024-03-22,2.499999936844688e-05,3.199999991920777e-05,2.300000051036477e-05,2.5999999706982635e-05,1615834,,4.000001455191549,,
2024-03-23,2.5999999706982635e-05,2.999999924213625e-05,2.300000051036477e-05,2.499999936844688e-05,953919,,-3.84615519156023,,
2024-03-24,2.499999936844688e-05,3.199999991920777e-05,2.300000051036477e-05,3.099999958067201e-05,913573,,24.000001455191565,,
2024-03-25,3.099999958067201e-05,3.9999998989515007e-05,2.999999924213625e-05,3.899999865097925e-05,1444899,,25.806448962970663,,
2024-03-26,3.899999865097925e-05,5.299999975250103e-05,3.700000161188655e-05,4.3000000005122274e-05,2737025,,10.256414083344033,,
2024-03-27,4.3000000005122274e-05,4.400000034365803e-05,3.300000025774352e-05,3.600000127335079e-05,1539239,,-16.279066816134012,,
2024-03-28,3.600000127335079e-05,4.099999932805076e-05,3.5000000934815034e-05,3.600000127335079e-05,929236,,0.0,,
