mfi_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
14,1.4576,5.6191,3,-0.0117,0.1455,0.06,0.1007,3.3333,2.8868,0.5,0.5,5.1362,5.0056,83.4808,166.8932,1.6229299999999998,MFI,single
20,1.6733,2.8983,3,0.0068,0.0118,0.0,0.0,1.6667,2.8868,0.3333,0.5774,3.3333,5.7735,0.0,0.0,1.2033599999999998,MFI,single
21,-0.0,5.02,3,-0.0288,0.0538,0.0303,0.0525,1.6667,2.8868,0.3333,0.5774,3.3333,5.7735,-8.4,14.5492,0.68819,MFI,single
13,-0.0,5.02,3,-0.0573,0.1031,0.0588,0.1018,1.6667,2.8868,0.3333,0.5774,3.3333,5.7735,-8.4,14.5492,0.67679,MFI,single
24,1.4407,2.4954,3,0.0134,0.0233,0.0,0.0,0.0,0.0,0.1667,0.2887,2.7492,4.7618,0.0,0.0,0.6348900000000001,MFI,single
44,1.4407,2.4954,3,0.0134,0.0233,0.0,0.0,0.0,0.0,0.1667,0.2887,2.7492,4.7618,0.0,0.0,0.6348900000000001,MFI,single
45,0.5818,1.0076,3,0.0061,0.0105,0.0086,0.0148,0.7226,1.2516,0.1667,0.2887,0.5401,0.9354,6.3447,10.9893,0.59082,MFI,single
103,-0.3085,5.4892,3,-0.0173,0.1269,0.0616,0.1067,0.0,5.0,0.4444,0.5092,3.4379,5.6851,-7.0642,12.2355,0.09167000000000002,MFI,single
25,-1.2274,3.3519,3,-0.0258,0.0568,0.0389,0.0469,0.5534,0.9584,0.1111,0.1925,0.4917,0.8516,-3.5413,20.1231,-0.015139999999999987,MFI,single
39,-0.8115,1.4056,3,-0.0209,0.0363,0.0361,0.0625,-0.4287,0.7425,0.1667,0.2887,0.1557,0.2696,-4.4934,7.7829,-0.18346,MFI,single
