mom_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
20,1.6733,2.8983,3,0.0015,0.0026,0.0,0.0,1.6667,2.8868,0.3333,0.5774,3.3333,5.7735,0.0,0.0,1.2022999999999997,MOM,single
14,1.6096,2.7879,3,0.015,0.026,0.0,0.0,0.0,0.0,0.2222,0.3849,3.02,5.2308,0.0,0.0,0.68588,MOM,single
108,0.4459,0.7723,3,0.0045,0.0078,0.0086,0.0148,0.5534,0.9584,0.1111,0.1925,0.4917,0.8516,4.8587,8.4154,0.49897,MOM,single
84,0.6195,1.073,3,0.0064,0.0111,0.0086,0.0148,0.0,0.0,0.1667,0.2887,0.5987,1.037,6.688,11.584,0.38541000000000003,MOM,single
19,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
23,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
24,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
25,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
26,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
27,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
