asset,trix_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,5,-0.06456947692700044,-8.467984194128714,-5.0,0.0,-25.691248553103836,0.06456947692700044,0.0,0.0,0.19589909979114642,3
shib,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
