fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
2,25,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,26,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,27,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,28,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,29,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,30,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,31,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,32,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,33,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
2,34,0.0377,0.0406,3,0.0124,0.0133,0.051,0.0051,0.356,0.3335,0.1389,0.0481,1.2857,0.2501,0.31039,ADOSC,matrix
