adx_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
32,2.0486,2.3295,3,0.022,0.0266,0.0073,0.0126,1.6667,2.8868,0.5,0.5,3.8995,5.351,4.8897,8.4692,1.3175299999999999,ADX,single
33,1.5275,2.6458,3,0.0124,0.0214,0.0,0.0,1.6667,2.8868,0.3333,0.5774,3.3333,5.7735,0.0,0.0,1.1607399999999999,ADX,single
6,0.6818,2.8084,3,0.0036,0.081,0.1018,0.0663,1.9467,4.1564,0.428,0.0459,1.1925,0.5126,8.9906,16.428,0.96891,ADX,single
5,0.684,3.0631,3,0.0021,0.0839,0.1096,0.0591,1.4697,3.9439,0.4293,0.0862,1.177,0.5635,6.757,16.082,0.82461,ADX,single
34,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
35,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
36,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
37,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
38,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
39,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,ADX,single
