aroon_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
14,3.3126,1.0175,3,0.0569,0.0168,0.0396,0.0281,1.6667,2.8868,0.5404,0.1117,2.8593,1.2606,40.7455,23.8206,1.69725,AROON,single
20,1.7541,2.473,3,0.0101,0.0103,0.024,0.0416,2.101,2.5937,0.4667,0.5033,3.7082,5.4778,1.2681,2.1964,1.35375,AROON,single
21,1.7541,2.473,3,0.0036,0.0052,0.024,0.0416,2.101,2.5937,0.4667,0.5033,3.7082,5.4778,1.2681,2.1964,1.3524500000000002,AROON,single
107,1.9559,3.3877,3,0.0293,0.0508,0.0093,0.0161,1.6667,2.8868,0.1667,0.2887,1.3647,2.3637,21.7942,37.7487,1.29078,AROON,single
108,1.2844,2.2246,3,0.0167,0.0288,0.0093,0.0161,1.6667,2.8868,0.1333,0.2309,0.934,1.6177,12.6927,21.9843,1.08681,AROON,single
44,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,AROON,single
45,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,AROON,single
46,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,AROON,single
47,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,AROON,single
48,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,AROON,single
