plus_di_length,minus_di_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
7,11,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,12,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,13,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,14,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,15,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,16,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,17,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,18,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,19,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
7,20,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,0.24891000000000002,DI,matrix
