vzo_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
148,-1.8342,4.8413,3,-0.0072,0.0442,0.0422,0.0376,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-3.5806,16.2557,-0.49750999999999995,FSVZO,single
149,-1.8342,4.8413,3,-0.0072,0.0442,0.0422,0.0376,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-3.5806,16.2557,-0.49750999999999995,FSVZO,single
150,-1.8342,4.8413,3,-0.0072,0.0442,0.0422,0.0376,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-3.5806,16.2557,-0.49750999999999995,FSVZO,single
126,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
127,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
128,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
129,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
130,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
131,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
132,-3.3617,4.6939,3,-0.0153,0.0445,0.0504,0.024,-0.4579,4.3313,0.1515,0.2624,0.4488,0.7773,-10.5806,18.3319,-0.9590200000000001,FSVZO,single
