fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,ema_ratio,combined_score,indicator,parameter_type
13,146,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.23076923076923,0.25206,MACD,matrix
13,147,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.307692307692308,0.25206,MACD,matrix
13,148,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.384615384615385,0.25206,MACD,matrix
13,149,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.461538461538462,0.25206,MACD,matrix
13,150,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.538461538461538,0.25206,MACD,matrix
13,151,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.615384615384615,0.25206,MACD,matrix
13,152,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.692307692307692,0.25206,MACD,matrix
13,153,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.76923076923077,0.25206,MACD,matrix
13,154,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.846153846153847,0.25206,MACD,matrix
13,155,0.055,0.0953,3,0.0248,0.043,0.024,0.0416,0.118,0.2045,0.1667,0.2887,0.5764,0.9984,11.923076923076923,0.25206,MACD,matrix
