mfi_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
20,3.0158,2.6124,3,0.0466,0.041,0.0123,0.0213,3.3333,2.8868,0.5,0.5,4.0634,5.2566,14.7241,25.5028,2.1115899999999996,MFI,single
46,2.7141,2.4055,3,0.0252,0.0427,0.024,0.0416,3.3333,2.8868,0.5,0.5,3.9097,5.3447,7.43,12.8691,2.0144599999999997,MFI,single
24,2.6393,2.5322,3,0.0226,0.0452,0.0425,0.0377,3.2712,2.9943,0.6111,0.3469,4.2216,5.0199,6.8827,13.3683,1.9691699999999999,MFI,single
49,1.5961,1.8081,3,0.0309,0.0389,0.0393,0.0365,3.3333,2.8868,0.3333,0.2887,1.0571,0.9267,10.5609,11.1908,1.6771399999999999,MFI,single
47,1.2165,5.0529,3,0.0015,0.1201,0.0697,0.0685,3.3333,2.8868,0.5,0.5,3.9097,5.3447,0.43,21.6482,1.5513,MFI,single
100,1.8684,3.8495,3,0.0076,0.0864,0.0833,0.0894,2.4044,4.4957,0.6515,0.3027,4.1107,5.1313,4.1557,16.4548,1.4667,MFI,single
67,1.6994,4.1397,3,0.0134,0.0961,0.0754,0.0772,2.5588,4.2283,0.6667,0.2887,4.0513,5.1928,3.221,17.68,1.46506,MFI,single
77,0.8678,4.7203,3,0.0433,0.048,0.0424,0.0377,3.3333,2.8868,0.3571,0.3113,1.319,1.1692,16.1779,14.1492,1.4605099999999998,MFI,single
48,2.1542,1.8943,3,0.0394,0.0374,0.0313,0.0369,1.6667,2.8868,0.3889,0.3469,1.5954,1.5329,21.8298,21.6034,1.34789,MFI,single
25,2.1508,1.9,3,0.0385,0.0389,0.0482,0.0251,1.6579,2.8944,0.4722,0.2097,1.9279,1.0442,21.8064,21.6389,1.34067,MFI,single
