mom_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
148,2.4013,3.2097,3,0.0424,0.0594,0.0246,0.0232,3.3333,2.8868,0.2778,0.2546,1.5338,1.5957,30.127,44.7378,1.92394,MOM,single
147,2.2595,2.915,3,0.0434,0.0602,0.0285,0.0249,3.3333,2.8868,0.3519,0.306,1.3591,1.3196,22.6789,31.4988,1.88082,MOM,single
141,1.9218,2.3464,3,0.0326,0.0418,0.0276,0.0244,3.3333,2.8868,0.3333,0.2887,1.2217,1.1277,18.2591,23.9563,1.77753,MOM,single
21,0.6617,4.7237,3,0.0045,0.031,0.0323,0.0366,3.0073,2.6499,0.4848,0.5007,3.7947,5.4183,-3.0861,16.5876,1.29514,MOM,single
107,1.4467,2.5058,3,0.0254,0.044,0.0123,0.0213,1.6667,2.8868,0.1481,0.2566,0.7244,1.2546,14.5113,25.1344,1.1366399999999999,MOM,single
24,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,MOM,single
25,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,MOM,single
29,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,MOM,single
30,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,MOM,single
31,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,MOM,single
