fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
18,28,0.1524,0.264,3,0.0526,0.0912,0.0093,0.0161,0.3572,0.6187,0.1389,0.2406,2.1195,3.671,0.36154000000000003,PPO,matrix
18,29,0.1524,0.264,3,0.0526,0.0912,0.0093,0.0161,0.3572,0.6187,0.1389,0.2406,2.1195,3.671,0.36154000000000003,PPO,matrix
25,26,0.2696,0.089,3,0.0701,0.0452,0.0072,0.0124,0.194,0.336,0.1667,0.1443,1.948,3.374,0.35166,PPO,matrix
25,30,0.0739,0.1281,3,0.0226,0.0391,0.0123,0.0213,0.3585,0.6209,0.1111,0.1925,0.9386,1.6257,0.33178,PPO,matrix
24,28,0.0699,0.1212,3,0.0214,0.0371,0.0123,0.0213,0.3402,0.5892,0.0833,0.1443,0.9095,1.5753,0.32485,PPO,matrix
20,32,0.1012,0.1752,3,0.0396,0.0686,0.0123,0.0213,0.2918,0.5055,0.1667,0.2887,0.9257,1.6034,0.32336,PPO,matrix
43,44,0.1012,0.1752,3,0.0396,0.0686,0.0123,0.0213,0.2918,0.5055,0.1667,0.2887,0.9257,1.6034,0.32336,PPO,matrix
43,45,0.1012,0.1752,3,0.0396,0.0686,0.0123,0.0213,0.2918,0.5055,0.1667,0.2887,0.9257,1.6034,0.32336,PPO,matrix
19,28,0.1194,0.2068,3,0.0392,0.0678,0.0093,0.0161,0.2657,0.4603,0.1111,0.1925,1.6888,2.925,0.32151,PPO,matrix
19,31,0.0977,0.1692,3,0.0384,0.0665,0.0123,0.0213,0.2829,0.49,0.1389,0.2406,0.9091,1.5746,0.3194,PPO,matrix
