fast_hma,slow_hma,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
5,79,4.5826,0.0,3,0.0349,0.0312,0.0,0.0,5.0,0.0,1.0,0.0,10.0,0.0,3.0817600000000005,TRENDCONT,matrix
5,98,4.0792,0.9628,3,0.0532,0.0136,0.0156,0.0271,5.0,0.0,0.8333,0.2887,7.3781,4.5413,2.93128,TRENDCONT,matrix
5,99,4.0792,0.9628,3,0.0532,0.0136,0.0156,0.0271,5.0,0.0,0.8333,0.2887,7.3781,4.5413,2.93128,TRENDCONT,matrix
5,100,4.0792,0.9628,3,0.0532,0.0136,0.0156,0.0271,5.0,0.0,0.8333,0.2887,7.3781,4.5413,2.93128,TRENDCONT,matrix
5,101,4.0792,0.9628,3,0.0532,0.0136,0.0156,0.0271,5.0,0.0,0.8333,0.2887,7.3781,4.5413,2.93128,TRENDCONT,matrix
5,96,3.4104,2.1205,3,0.0403,0.0271,0.0156,0.0271,5.0,0.0,0.7778,0.3849,7.1099,5.0057,2.72806,TRENDCONT,matrix
5,97,3.4104,2.1205,3,0.0403,0.0271,0.0156,0.0271,5.0,0.0,0.7778,0.3849,7.1099,5.0057,2.72806,TRENDCONT,matrix
16,82,3.2913,2.2365,3,0.0393,0.0285,0.0169,0.0293,4.5348,0.8058,0.7778,0.3849,7.0764,5.0638,2.5523100000000003,TRENDCONT,matrix
16,84,3.2913,2.2365,3,0.0393,0.0285,0.0169,0.0293,4.5348,0.8058,0.7778,0.3849,7.0764,5.0638,2.5523100000000003,TRENDCONT,matrix
16,85,3.2913,2.2365,3,0.0393,0.0285,0.0169,0.0293,4.5348,0.8058,0.7778,0.3849,7.0764,5.0638,2.5523100000000003,TRENDCONT,matrix
