trix_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
61,2.7577,2.3318,3,0.0243,0.0435,0.0594,0.0543,3.4083,2.7569,0.5952,0.3665,4.2521,4.9902,7.6482,12.6844,2.0427799999999996,TRIX,single
62,2.7577,2.3318,3,0.0243,0.0435,0.0594,0.0543,3.4083,2.7569,0.5952,0.3665,4.2521,4.9902,7.6482,12.6844,2.0427799999999996,TRIX,single
63,2.4672,2.9097,3,0.038,0.0569,0.0594,0.0543,2.7886,3.8303,0.5833,0.3819,4.1942,5.047,6.0117,14.257,1.7724600000000001,TRIX,single
57,1.8044,1.7804,3,0.0337,0.0377,0.0316,0.0368,3.3333,2.8868,0.2778,0.2546,1.1852,1.0276,16.2683,14.2463,1.74173,TRIX,single
64,2.357,1.5495,3,0.0426,0.0325,0.0668,0.0424,2.0879,2.5999,0.5,0.1667,1.9666,0.9934,22.9264,19.9625,1.5286300000000002,TRIX,single
56,2.3838,2.0645,3,0.0416,0.038,0.024,0.0416,1.6667,2.8868,0.3333,0.2887,2.3384,2.6952,7.43,12.8691,1.41867,TRIX,single
150,1.8076,4.037,3,0.0023,0.1187,0.0962,0.1103,2.0401,5.1268,0.6111,0.3469,4.121,5.1207,3.4142,17.4214,1.3355299999999999,TRIX,single
6,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,TRIX,single
7,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,TRIX,single
8,1.1866,2.0552,3,0.0248,0.043,0.024,0.0416,1.6667,2.8868,0.1667,0.2887,0.5764,0.9984,7.43,12.8691,1.05615,TRIX,single
