vidya_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
20,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
21,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
22,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
23,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
24,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
25,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
26,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
27,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
28,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
29,0.8772,1.5193,3,0.0176,0.0305,0.024,0.0416,1.6667,2.8868,0.1515,0.2624,0.511,0.8851,5.4317,9.4081,0.9618899999999999,VIDYA,single
