asset,adx_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,5,-0.14224507946933362,-5.3035576957634785,-5.0,0.3290751078493275,-17.348137364887336,0.17549263135529344,0.3,0.3290751078493275,0.5740430197844573,10
shib,5,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,5,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,6,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,6,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,6,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,7,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,7,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,7,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,8,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,8,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,8,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,9,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,9,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,9,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,10,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,10,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,10,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,11,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,11,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,11,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,12,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,12,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,12,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,13,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,13,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,13,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,14,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,14,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,14,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,15,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,15,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,15,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,16,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,16,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,16,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,17,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,17,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,17,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,18,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,18,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,18,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,19,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,19,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,19,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,20,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,20,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,20,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,21,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,21,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,21,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,22,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,22,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,22,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,23,-0.11291646911579967,-4.150031864490125,-3.987883777743882,0.3885211744635817,-15.95491144045059,0.14730083114546458,0.3333333333333333,0.3885211744635817,0.566302089422486,9
shib,23,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,23,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,24,-0.14291946250298115,-6.508794766358371,-4.138122055486568,0.0,-21.73611068191067,0.14291946250298115,0.0,0.0,0.47727933773859865,3
shib,24,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,24,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,25,-0.017129717445344528,-4.582575694955839,0.0,0.0,-21.0,0.017129717445344528,0.0,0.0,0.07849822682649689,1
shib,25,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,25,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
doge,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,26,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,26,-0.09147470013202819,-1.2526238724150658,-2.463682241667932,0.7112420253190844,-6.422051339623166,0.22126401182135202,0.3333333333333333,0.7112420253190844,1.1343938709934323,3
doge,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,27,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,27,-0.22126401182135202,-6.609072218884767,-5.0,0.0,-22.240256210134746,0.22126401182135202,0.0,0.0,0.7445777788488942,2
doge,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,28,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,28,-0.09147470013202819,-4.58257569495584,0.0,0.0,-21.0,0.09147470013202819,0.0,0.0,0.41918973752840616,1
doge,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,29,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,29,-0.09147470013202819,-4.58257569495584,0.0,0.0,-21.0,0.09147470013202819,0.0,0.0,0.41918973752840616,1
doge,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,30,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,31,-0.1012279452076722,-2.438809613270627,-2.239224431506977,0.5200926331948049,-10.592549337874802,0.18293452266576538,0.25,0.5200926331948049,0.7945445787951594,4
pepe,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,32,-0.0013644441143315644,0.2508591662742213,0.1614267279254006,1.0837343965516397,1.7607893005680038,0.09214952467430941,0.3333333333333333,1.0837343965516397,0.6468007508307858,3
pepe,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,33,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
