fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
20,21,3.6862,2.502,4,0.0672,0.0737,0.0,0.0,3.75,2.5,0.75,0.5,7.5,5.0,2.4443,APO,matrix
19,21,3.4369,2.2913,4,0.066,0.0746,0.0,0.0,3.75,2.5,0.75,0.5,7.5,5.0,2.3692699999999998,APO,matrix
14,15,2.5584,2.9862,4,0.0323,0.0437,0.0259,0.0494,2.5,2.8868,0.525,0.4113,4.6452,4.9043,1.7187999999999997,APO,matrix
25,26,2.2913,2.6458,4,0.0203,0.0399,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.64145,APO,matrix
24,26,1.1456,4.3875,4,0.0163,0.0433,0.004,0.0081,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.29614,APO,matrix
56,57,1.5623,3.6851,4,0.0468,0.0968,0.0279,0.0558,1.5395,4.2927,0.5833,0.5,5.1416,5.6147,1.13432,APO,matrix
13,16,1.5726,4.888,4,0.0113,0.0818,0.0259,0.0494,1.25,2.5,0.4375,0.5154,7.2023,9.0609,1.04386,APO,matrix
18,21,1.326,2.1975,4,0.0202,0.0379,0.004,0.0081,1.25,2.5,0.375,0.4787,2.8162,4.8262,0.97604,APO,matrix
23,26,1.1456,2.2913,4,0.02,0.0401,0.0,0.0,1.25,2.5,0.25,0.5,2.5,5.0,0.92268,APO,matrix
8,21,1.1456,2.2913,4,0.0192,0.0385,0.0,0.0,1.25,2.5,0.25,0.5,2.5,5.0,0.92252,APO,matrix
