indicator,description,parameter_type,best_sharpe_ratio,best_return,best_drawdown,combined_score,best_parameter,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema,best_fast_period,best_slow_period,best_fast_hma,best_slow_hma
EMA,Price > EMA = Long,single_param,4.1359,0.1669,0.0974,2.20467,33,,,,,,,,
RSI,RSI > 50 = Long,single_param,0.0,0.0,0.0,0.2,17,,,,,,,,
CCI,CCI > 0 = Long,single_param,0.0,0.0,0.0,0.2,22,,,,,,,,
ADX,ADX > 25 = Long,single_param,0.0836,-0.0005,0.0307,0.23498000000000002,32,,,,,,,,
AROON,Aroon > 0 = Long,single_param,0.0,0.0,0.0,0.2,19,,,,,,,,
CMO,CMO > 0 = Long,single_param,0.0,0.0,0.0,0.2,17,,,,,,,,
MFI,MFI > 50 = Long,single_param,2.2913,0.0243,0.0,1.6422500000000002,20,,,,,,,,
WILLR,WILLR > -50 = Long,single_param,0.0,0.0,0.0,0.2,97,,,,,,,,
DI,+DI > -DI = Long,matrix,0.0,0.0,0.0,0.2,"+DI:1, -DI:3",1.0,3.0,,,,,,
MACD,MACD > Signal = Long,matrix,0.0,0.0,0.0,0.2,"Fast:13, Slow:149",,,13.0,149.0,,,,
APO,APO > 0 = Long,matrix,3.6862,0.0672,0.0,2.4443,"Fast:20, Slow:21",,,,,20.0,21.0,,
MOM,MOM > 0 = Long,single_param,1.1456,0.0011,0.0,0.9189,20,,,,,,,,
PPO,PPO > 0 = Long,matrix,0.1188,0.0323,0.0259,0.46582,"Fast:14, Slow:15",,,,,14.0,15.0,,
TRIX,TRIX > 0 = Long,single_param,0.9887,0.0101,0.0,0.49863,38,,,,,,,,
ADOSC,ADOSC > 0 = Long (Volume-based),matrix,-0.1085,-0.0312,0.0671,0.14779,"Fast:5, Slow:10",,,,,5.0,10.0,,
VIDYA,VIDYA steigend = Long,single_param,0.0,0.0,0.0,0.2,35,,,,,,,,
TRENDCONT,Uptrend = Long (Dual HMA),matrix,2.2913,0.0365,0.0,1.6446900000000002,"Fast HMA:9, Slow HMA:60",,,,,,,9.0,60.0
HULLSUITE,MHULL > SHULL = Long,single_param,0.0,0.0,0.0,0.2,46,,,,,,,,
FSVZO,VZO > Signal = Long (Volume),single_param,0.0,0.0,0.0,0.2,67,,,,,,,,
BBPCT,Position > 50 = Long (BB %),single_param,0.0,0.0,0.0,0.2,28,,,,,,,,
