ema_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
33,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
34,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
35,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
36,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
37,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
38,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
39,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
40,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
41,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
42,4.1359,2.0841,4,0.1669,0.0583,0.0974,0.0511,2.5,2.8868,0.7054,0.0893,2.4816,0.9246,48.216,32.992,2.20467,EMA,single
