mom_length,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,calmar_ratio_mean,calmar_ratio_std,combined_score,indicator,parameter_type
20,1.1456,2.2913,4,0.0011,0.0023,0.0,0.0,1.25,2.5,0.25,0.5,2.5,5.0,0.0,0.0,0.9189,MOM,single
14,1.1028,2.2055,4,0.0113,0.0225,0.0,0.0,0.0,0.0,0.1667,0.3333,2.265,4.53,0.0,0.0,0.5330999999999999,MOM,single
108,0.3079,0.6158,4,0.0034,0.0068,0.0064,0.0129,0.3458,0.6917,0.0833,0.1667,0.3687,0.7375,3.0367,6.0733,0.39551000000000003,MOM,single
84,0.4275,0.855,4,0.0048,0.0096,0.0064,0.0129,0.0,0.0,0.125,0.25,0.449,0.8981,4.18,8.36,0.32793,MOM,single
24,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
25,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
26,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
27,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
28,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
29,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,MOM,single
