fast_period,slow_period,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
14,15,0.1188,0.1474,4,0.0323,0.0437,0.0259,0.0494,0.763,1.5261,0.1042,0.1049,2.1452,3.6543,0.46582,PPO,matrix
78,80,0.0327,0.0654,4,0.0073,0.0145,0.0027,0.0054,0.2791,0.5582,0.0208,0.0417,0.7025,1.405,0.29446,PPO,matrix
20,21,0.1758,0.1194,4,0.0672,0.0737,0.0,0.0,0.0,0.0,0.0833,0.068,0.0,0.0,0.26618,PPO,matrix
19,21,0.1637,0.1091,4,0.066,0.0746,0.0,0.0,0.0,0.0,0.0625,0.0417,0.0,0.0,0.26231000000000004,PPO,matrix
25,26,0.1091,0.126,4,0.0203,0.0399,0.0,0.0,0.0,0.0,0.0417,0.0481,0.0,0.0,0.23679,PPO,matrix
71,81,0.0732,0.1464,4,0.0166,0.0332,0.0,0.0,0.0,0.0,0.0625,0.125,3.1748,6.3495,0.22528,PPO,matrix
78,79,0.0221,0.0442,4,0.0052,0.0105,0.0047,0.0093,0.058,0.116,0.0417,0.0833,0.4409,0.8818,0.22413000000000002,PPO,matrix
77,81,0.0253,0.0505,4,0.0059,0.0118,0.004,0.0081,0.0499,0.0999,0.0208,0.0417,0.5318,1.0636,0.22294000000000003,PPO,matrix
18,21,0.0625,0.1049,4,0.0202,0.0379,0.004,0.0081,0.0,0.0,0.0417,0.0481,0.3162,0.6324,0.22199000000000002,PPO,matrix
23,26,0.0546,0.1091,4,0.02,0.0401,0.0,0.0,0.0,0.0,0.0208,0.0417,0.0,0.0,0.22038000000000002,PPO,matrix
