fast_hma,slow_hma,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_count,total_return_mean,total_return_std,max_drawdown_mean,max_drawdown_std,sortino_ratio_mean,sortino_ratio_std,win_rate_mean,win_rate_std,omega_ratio_mean,omega_ratio_std,combined_score,indicator,parameter_type
9,60,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
9,62,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
9,63,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,60,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,62,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,63,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,64,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,65,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,66,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
10,67,2.2913,2.6458,4,0.0365,0.0476,0.0,0.0,2.5,2.8868,0.5,0.5774,5.0,5.7735,1.6446900000000002,TRENDCONT,matrix
